model,evaluation_regime,comparison_population,aggregation,n_folds,n_expected,n_actual,n_predicted,n_scored,coverage,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio,n,strategy,horizon,origin_type
MovingAvg28,realized,common,global,12,346,346,343,311,0.9913294797687862,22.204256622263053,35.4988706144911,81.38670747566472,0.47928399566378466,0.46882816130261135,0.625036950638925,1.7585191990336682,0.03795804212239525,311.0,direct,1,development
MovingAvg28,realized,common,mean_fold,12,346,346,343,311,0.9913294797687862,21.501448242070676,27.210526300823286,77.18796128071523,0.5120934253592433,0.4621421738035993,0.5677775035636196,1.0471211116786172,0.19786198183471473,25.916666666666668,direct,1,development
NeuralNet,realized,model_specific,global,12,346,346,311,311,0.8988439306358381,10.925129039494553,16.17680115474895,34.6856735204715,0.2358214277681015,0.28084915793004,0.3530577267362528,2.027552057309166,0.043765178360851656,311.0,direct,1,development
NeuralNet,realized,model_specific,mean_fold,12,346,346,311,311,0.8988439306358381,10.829044082588576,14.03765316614426,34.577868237409426,0.2460234481791116,0.28034368781282093,0.34675397016740384,2.045031179376837,0.07510516517212006,25.916666666666668,direct,1,development
XGBoost,realized,model_specific,global,12,346,346,346,346,1.0,14.835219440949446,24.61083757403755,140.40444108516317,0.3332674929599083,0.35599722219414226,0.6453795012247895,0.4687808071602287,0.010530980345243418,346.0,direct,1,development
XGBoost,realized,model_specific,mean_fold,12,346,346,346,346,1.0,14.782745129426067,20.77560150640457,144.5261238552115,0.32931134885871244,0.35822290387697325,0.5811045007540869,0.4797087425281487,0.04461308030897624,28.833333333333332,direct,1,development
LightGBM,realized,model_specific,global,12,346,346,346,346,1.0,14.039000806436373,22.778057752453396,54.75110539291839,0.3153807478916365,0.3608075073821599,0.49113624816247486,-1.8475798936937586,-0.041505170965981074,346.0,direct,1,development
LightGBM,realized,model_specific,mean_fold,12,346,346,346,346,1.0,13.917563349382746,18.482580643211893,55.13446288342656,0.30660600435795754,0.36169707796268113,0.47268887433857304,-1.9006963113042177,-0.0189638897740958,28.833333333333332,direct,1,development
DynamicRidge,realized,model_specific,global,12,346,346,343,343,0.9913294797687862,21.35712476235437,62.793598531990696,104.6105720006427,0.47561964637628545,0.3759115945219099,0.5936905296546338,10.593823316145917,0.2359226981845247,343.0,direct,1,development
DynamicRidge,realized,model_specific,mean_fold,12,346,346,343,343,0.9913294797687862,21.067907894807657,38.37363090875713,109.62408640018565,0.44562754235661356,0.37545293942301455,0.573954054631645,10.39148992835029,0.20516927530132242,28.583333333333332,direct,1,development
SeasonalNaive,realized,model_specific,global,12,346,346,343,343,0.9913294797687862,24.838678328474252,40.03919767150894,153.78264322532846,0.5531532701380774,0.5306318701484747,0.7596644478528272,5.789115646258503,0.1289226507379994,343.0,direct,1,development
SeasonalNaive,realized,model_specific,mean_fold,12,346,346,343,343,0.9913294797687862,24.601861785156803,33.79858454907092,149.83417602033248,0.6238826445863755,0.5301701502100212,0.7092903608488074,5.382202355612318,0.2681843184872154,28.583333333333332,direct,1,development
MovingAvg28,realized,model_specific,global,12,346,346,343,343,0.9913294797687862,21.2068880610711,34.34692854024558,102.62432421840823,0.4722738998147895,0.470612081896916,0.6502147320336703,2.188248149225458,0.048731925411266856,343.0,direct,1,development
MovingAvg28,realized,model_specific,mean_fold,12,346,346,343,343,0.9913294797687862,21.04100019606537,27.0367571043522,100.36336884697738,0.507582546197804,0.4705479493350249,0.6088003362940514,1.79731161487096,0.19708998415944903,28.583333333333332,direct,1,development
NeuralNet,conditional,common,global,12,341,341,311,311,0.9120234604105572,10.925129039494553,16.17680115474895,34.6856735204715,0.2358214277681015,0.28084915793004,0.3530577267362528,2.027552057309166,0.043765178360851656,311.0,direct,1,development
NeuralNet,conditional,common,mean_fold,12,341,341,311,311,0.9120234604105572,10.829044082588576,14.03765316614426,34.577868237409426,0.2460234481791116,0.28034368781282093,0.34675397016740384,2.045031179376837,0.07510516517212006,25.916666666666668,direct,1,development
